id,name,label,description,notes
52,idealRange,Ideal Range,"Range at which attack power is guaranteed without ricocheting.\n\nApplies regardless of the target's defenses, with the exception of some special armor.",
53,idleDamageMitigation,Idle Damage Mitigation,Damage mitigation for attacks caught by guard while shield is in an idle state.,
54,idleImpactMitigation,Idle Impact Mitigation,ACS strain mitigation for attacks caught by guard while shield is in an idle state.,
55,idleTime,Idle Time,Time until idle state ends.,
56,igDamageMitigation,IG Damage Mitigation,Ability to mitigate incoming damage while performing an Initial Guard.,
57,igDuration,IG Duration,Duration of the Initial Guard damage mitigation window.,
58,igImpactMitigation,IG Impact Mitigation,Ability to mitigate ACS strain while performing an Initial Guard.,
59,impact,Impact,"ACS overload performance.\n\nThis corresponds to immediate ACS strain, which resets within a short period of time.",
60,impactDampening,Impact Dampening,Ability to mitigate incoming ACS burden while performing a regular guard.,
61,jumpDistance,Jump Distance,Horizontal jumping performance.\n\nHigher values correspond to higher initial speed of Quick Boost from the ground.,
62,jumpHeight,Jump Height,Vertical jumping performance.\n\nHigher values correspond to higher maximum heights of jumps from the ground.,
63,loadLimit,Load Limit,Maximum weight legs can support.\n\nHigher values mean that the legs can support more heavy parts.,
64,longRangeAssist,Long-Range Assist,Aiming assistance performance at long range.\n\nHigher values improve aim when targeting enemies at long range (beyond 260 m).,
65,magazineRounds,Magazine Rounds,Number of rounds loaded per magazine.,
66,maxLockCount,Max. Lock Count,Maximum possible number of lock-ons for missiles and other homing weapons.\n\nMulti-lock is possible if this number is 2 or higher.,
67,mediumRangeAssist,Medium-Range Assist,Aiming assistance performance at medium range.\n\nHigher values improve aim when targeting enemies at medium range (130-260 m).,
68,meleeAtkEnConsump,Melee Atk. EN Consump.,EN consumed by movement resulting from use of melee weapon.,
69,meleeAttackThrust,Melee Attack Thrust,Thrust when homing in on enemies using melee weapons.\n\nMost melee weapons are capable of homing in on enemies within certain ranges. This value increases the speed of those homing attacks.,
70,meleeSpecialization,Melee Specialization,Suitability for using melee weapons.\n\nHigher values corresponding to greater attack power.,
71,missileLockCorrection,Missile Lock Correction,"Modifier for the time it takes to acquire lock-on for missiles and other homing weapons.\n\nThe higher the value, the less time required to complete lock-on.",
72,multiLockCorrection,Multi-Lock Correction,"Modifier for the time it takes to acquire multiple lock-ons for missiles and other homing weapons.\n\nThe higher the value, the less time required to complete lock-ons.",
73,paInterference,PA Interference,"Ability to interfere with enemy pulse barriers.\n\nThe higher this value, the easier it is to break down pulse armor or shielding.",
74,postRecoveryEnSupply,Post-Recovery EN Supply,"Amount of EN that is immediately recharged after generator EN supply has been restored.\n\nHigher values correspond to greater initial EN recharge after the generator recovers from complete EN depletion, enabling heavy use of EN-consuming actions following recovery.",
75,qbEnConsumption,QB EN Consumption,EN consumed by Quick Boost.,
76,qbJetDuration,QB Jet Duration,Duration of Quick Boost jets.\n\nHigher values correspond to greater distance traveled.,
77,qbReloadIdealWeight,QB Reload Ideal Weight,Maximum tolerable AC weight before Quick Boost reload time is compromised.\n\nHigher values can support heavier ACs without suffering reduced performance.,
78,qbReloadTime,QB Reload Time,"Reload time for Quick Boost.\n\nLower values enable agile, consecutive usage.",
79,qbThrust,QB Thrust,Initial thrust of Quick Boost movement.\n\nHigher values correspond to greater initial speed.,
80,rapidFire,Rapid Fire,Speed of rapid fire.\n\nThis is the number of rounds that can be fired within 1 second.,
81,recoil,Recoil,Recoil that occurs when firing.,
82,recoilControl,Recoil Control,Ability to absorb recoil.\n\nHigher values mitigate accuracy reduction incurred by rapid fire.,
83,reloadTime,Reload Time,Time from start to completion of reload.,
84,resilience,Resilience,Resilience of the barrier produced.,
85,scanDistance,Scan Distance,Range within which scanning can detect enemies or part containers.,
86,scanEffectDuration,Scan Effect Duration,Scan visibility duration after having detected enemies or part containers.,
87,supplyRecovery,Supply Recovery,"The ability of the generator to recover after interruption of EN supply.\n\nThe higher this value, the more quickly the generator commences recovery after EN is fully depleted.",
88,systemRecovery,System Recovery,Ability to detect system abnormalities and recover.\n\nHigher values correspond to lower vulnerability to system abnormalities,
89,thrust,Thrust,Thrust of boost movement.\n\nHigher values correspond to greater movement speed.,
90,totalRound,Total Round,Total number of rounds that can be fired.,
91,travelSpeed,Travel Speed,Speed while boost is disengaged.,
92,upwardEnConsumption,Upward EN Consumption,EN consumed by ascending boost movement.,
93,upwardThrust,Upward Thrust,Vertical thrust of boost movement.\n\nHigher values correspond to greater ascending speed.,
94,weight,Weight,Weight of the part.,
